algo,tune_args,tunes,fc,rm,trees,nodesize,combo,best,auc_po,ODP,CBI_rescale,IMAE,auc_po_flexsdm,CBI,n_p_test,n_p_train,n_a_train,mtry,max_kappa,max_spec_sens,no_omission,equal_prevalence,equal_sens_spec
maxnet,fc: l. rm: 4.5,5,l,4.5,,,0.34907370429861,FALSE,0.702691552130702,0.969540483126271,0.927803988886214,0.535421944445171,0.702691552130702,0.855607977772429,18.8,75.2,2417.6,,0.801216896,0.498094218,0.218185296,0.066568472,0.59362371
maxnet,fc: qh. rm: 3,5,qh,3,,,0.348893776488095,FALSE,0.694096488200713,0.969540483126271,0.913581601945634,0.550206897586077,0.694096488200713,0.827163203891267,18.8,75.2,2417.6,,0.766751492,0.480044308,0.203650814,0.039918554,0.578573536
maxnet,fc: l. rm: 5,5,l,5,,,0.348493873383031,FALSE,0.700890714773222,0.969540483126271,0.934743109223121,0.531927653356151,0.700890714773222,0.869486218446242,18.8,75.2,2417.6,,0.7974794,0.500001962,0.223419686,0.069341332,0.592800494
maxnet,fc: qh. rm: 3.5,5,qh,3.5,,,0.348430626363372,FALSE,0.694593133782198,0.969540483126271,0.920570471113789,0.544915041053053,0.694593133782198,0.841140942227577,18.8,75.2,2417.6,,0.788092586,0.492669498,0.209422746,0.04234442,0.584890198
maxnet,fc: q. rm: 6,5,q,6,,,0.348418508810485,FALSE,0.704460995735665,0.969540483126271,0.941298263977598,0.525432591489332,0.704460995735665,0.882596527955196,18.8,75.2,2417.6,,0.7918296,0.513637808,0.252001374,0.05451509,0.610254766
maxnet,fc: h. rm: 1.5,5,h,1.5,,,0.3482120215389,FALSE,0.694282667431694,0.969540483126271,0.913740084199918,0.548889294007336,0.694282667431694,0.827480168399836,18.8,75.2,2417.6,,0.766279928,0.524555786,0.212192384,0.054353602,0.552198288
maxnet,fc: qh. rm: 5.5,5,qh,5.5,,,0.347698353454401,FALSE,0.699898401472117,0.969540483126271,0.937837948026976,0.529712023448404,0.699898401472117,0.875675896053952,18.8,75.2,2417.6,,0.793297212,0.509717118,0.243544814,0.051482268,0.604990976
maxnet,fc: qh. rm: 6,5,qh,6,,,0.347568791642649,FALSE,0.701189390797393,0.969540483126271,0.941876823758573,0.526273287809709,0.701189390797393,0.883753647517146,18.8,75.2,2417.6,,0.792970426,0.514353468,0.250229984,0.053753526,0.607669956
maxnet,fc: qh. rm: 4,5,qh,4,,,0.347223303184295,FALSE,0.694879194616346,0.969540483126271,0.924340846899024,0.540589256662936,0.694879194616346,0.848681693798049,18.8,75.2,2417.6,,0.802017002,0.498685018,0.2210986,0.04338804,0.59286472
maxnet,fc: qh. rm: 4.5,5,qh,4.5,,,0.345898164699104,FALSE,0.696279316806134,0.969540483126271,0.925624289900543,0.536698053873397,0.696279316806134,0.851248579801086,18.8,75.2,2417.6,,0.79751754,0.508446296,0.23088834,0.046395666,0.598324684
maxnet,fc: qh. rm: 5,5,qh,5,,,0.345865837161452,FALSE,0.69813241151114,0.969540483126271,0.929300479628813,0.533106164468412,0.69813241151114,0.858600959257625,18.8,75.2,2417.6,,0.795694414,0.503876066,0.23738889,0.04905766,0.601045334
maxnet,fc: lqp. rm: 3.5,5,lqp,3.5,,,0.34561632356003,FALSE,0.704449024522091,0.969540483126271,0.942068770077105,0.520789317150814,0.704449024522091,0.88413754015421,18.8,75.2,2417.6,,0.819915458,0.5167269,0.254834904,0.066563068,0.607898312
maxnet,fc: l. rm: 5.5,5,l,5.5,,,0.345201334771589,FALSE,0.699740801988421,0.969540483126271,0.933092562760434,0.528701496880589,0.699740801988421,0.866185125520867,18.8,75.2,2417.6,,0.781159202,0.494603538,0.228430638,0.072119128,0.59408313
maxnet,fc: lqhp. rm: 2,5,lqhp,2,,,0.343006003208537,FALSE,0.689240700152623,0.969540483126271,0.912637169602201,0.545296428837905,0.689240700152623,0.825274339204401,18.8,75.2,2417.6,,0.759157274,0.481202858,0.19408388,0.049183626,0.576028852
maxnet,fc: qhp. rm: 2,5,qhp,2,,,0.341696315712403,FALSE,0.687226733741446,0.969540483126271,0.911849148675256,0.54527709313525,0.687226733741446,0.823698297350512,18.8,75.2,2417.6,,0.775230672,0.481574996,0.193492988,0.046980548,0.577541954
maxnet,fc: l. rm: 6,5,l,6,,,0.34131047296706,FALSE,0.698616729348748,0.969540483126271,0.929007537975896,0.525885741162862,0.698616729348748,0.858015075951792,18.8,75.2,2417.6,,0.800788432,0.500117252,0.232968492,0.07473577,0.599545518
maxnet,fc: lqp. rm: 4,5,lqp,4,,,0.340040294749072,FALSE,0.702488684310037,0.969540483126271,0.938910485012596,0.515545335676659,0.702488684310037,0.877820970025193,18.8,75.2,2417.6,,0.830170988,0.521733712,0.263051938,0.070296366,0.614282928
