algo,tune_args,fc,rm,trees,nodesize,n_p_test,n_p_train,n_a_train,mtry,np,na,prevalence,auc,cor,pcor,ODP,auc_po,auc_po_flexsdm,CBI,CBI_rescale,IMAE,tunes
maxnet,fc: q. rm: 2.5,q,2.5,,,64,64,2475,,64,2475,0.0495768861694327,0.864263729241865,0.272170005457495,1.07440298346771e-21,0.950423113830567,0.864263729241865,0.864263729241865,0.75758841480262,0.87879420740131,0.820163716640453,2
maxnet,fc: q. rm: 3,q,3,,,64,64,2475,,64,2475,0.0495768861694327,0.86381628941592,0.275372024398843,1.48838483839645e-21,0.950423113830567,0.86381628941592,0.86381628941592,0.79095906487541,0.895479532437705,0.816521972615387,2
maxnet,fc: q. rm: 3.5,q,3.5,,,64,64,2475,,64,2475,0.0495768861694327,0.86331426452814,0.278364616773235,1.888503847657e-21,0.950423113830567,0.86331426452814,0.86331426452814,0.816385259094748,0.908192629547374,0.812934456150965,2
maxnet,fc: q. rm: 4,q,4,,,64,64,2475,,64,2475,0.0495768861694327,0.862902390390847,0.281073386027493,2.44981929195541e-21,0.950423113830567,0.862902390390847,0.862902390390847,0.846092702356913,0.923046351178457,0.809557707387378,2
maxnet,fc: q. rm: 4.5,q,4.5,,,64,64,2475,,64,2475,0.0495768861694327,0.862417037147326,0.283449631146077,3.30261279832146e-21,0.950423113830567,0.862417037147326,0.862417037147326,0.868176727840733,0.934088363920366,0.806435800662209,2
maxnet,fc: q. rm: 5,q,5,,,64,64,2475,,64,2475,0.0495768861694327,0.861838595213212,0.283211021346131,4.50467469074438e-21,0.950423113830567,0.861838595213212,0.861838595213212,0.874346890264249,0.937173445132125,0.802996781381494,2
maxnet,fc: q. rm: 5.5,q,5.5,,,64,64,2475,,64,2475,0.0495768861694327,0.861293961450006,0.282840386245298,6.81373790440624e-21,0.950423113830567,0.861293961450006,0.861293961450006,0.874474175670787,0.937237087835394,0.799530960061431,2
maxnet,fc: q. rm: 6,q,6,,,64,64,2475,,64,2475,0.0495768861694327,0.860565310041344,0.282358403031434,1.10107735977592e-20,0.950423113830567,0.860565310041344,0.860565310041344,0.870972152410983,0.935486076205492,0.79605159339114,2
maxnet,fc: qh. rm: 1,qh,1,,,64,64,2475,,64,2475,0.0495768861694327,0.854396137131059,0.234723033708644,7.63243321138508e-14,0.950423113830567,0.854396137131059,0.854396137131059,0.497814756747636,0.748907378373818,0.84839388360385,2
maxnet,fc: qh. rm: 1.5,qh,1.5,,,64,64,2475,,64,2475,0.0495768861694327,0.849530852935427,0.233413509558107,4.05058844454546e-13,0.950423113830567,0.849530852935427,0.849530852935427,0.414103198428474,0.707051599214237,0.841003953117512,2
maxnet,fc: qh. rm: 2,qh,2,,,64,64,2475,,64,2475,0.0495768861694327,0.84715783455417,0.23119550320785,2.72934219190482e-13,0.950423113830567,0.84715783455417,0.84715783455417,0.351948574824393,0.675974287412197,0.839697921865212,2
maxnet,fc: qh. rm: 2.5,qh,2.5,,,64,64,2475,,64,2475,0.0495768861694327,0.847429922637858,0.230390727585856,3.18595897790018e-14,0.950423113830567,0.847429922637858,0.847429922637858,0.366653165106377,0.683326582553189,0.836947250727615,2
maxnet,fc: qh. rm: 3,qh,3,,,64,64,2475,,64,2475,0.0495768861694327,0.849031005271119,0.232738591933117,2.59106136750056e-15,0.950423113830567,0.849031005271119,0.849031005271119,0.379768158605578,0.689884079302789,0.835009860375797,2
maxnet,fc: qh. rm: 3.5,qh,3.5,,,64,64,2475,,64,2475,0.0495768861694327,0.850270617802054,0.233375708563188,2.30567817770669e-16,0.950423113830567,0.850270617802054,0.850270617802054,0.55156295298344,0.77578147649172,0.833645966746506,2
maxnet,fc: qh. rm: 4,qh,4,,,64,64,2475,,64,2475,0.0495768861694327,0.852181246526716,0.236886931182669,1.98961758919659e-17,0.950423113830567,0.852181246526716,0.852181246526716,0.588022761536723,0.794011380768361,0.832218203056071,2
maxnet,fc: qh. rm: 4.5,qh,4.5,,,64,64,2475,,64,2475,0.0495768861694327,0.853980294734385,0.240138514826244,2.10930986030048e-18,0.950423113830567,0.853980294734385,0.853980294734385,0.593600949442288,0.796800474721144,0.830602115466533,2
maxnet,fc: qh. rm: 5,qh,5,,,64,64,2475,,64,2475,0.0495768861694327,0.853073913979655,0.241719817063879,1.4549714551237e-18,0.950423113830567,0.853073913979655,0.853073913979655,0.635534881687603,0.817767440843801,0.826860470842682,2
maxnet,fc: qh. rm: 5.5,qh,5.5,,,64,64,2475,,64,2475,0.0495768861694327,0.852170408500636,0.242796419540573,1.44702039868784e-18,0.950423113830567,0.852170408500636,0.852170408500636,0.663103405136308,0.831551702568154,0.822830426092274,2
